Sr_No,Startup_Name,Industry_Vertical,Sub_Vertical,City_Location,Investors_Name,Investment_Type,Amount_in_USD,Date,Remarks
1674,Seclore,Technology,"Enterprise Security Technology platform",Mumbai,"Sistema Asia Fund, Helion Venture, VentureEast, India Alternatives","Private Equity","1,20,00,000",2016-05-04,nan
1675,SolarTown,Technology,"Solar Rooftop system installation company",Chennai,Grex.in,"Seed Funding","2,00,000",2016-05-04,nan
1676,Comarete,Technology,"Telecom & Media IT services company",Pune,Grex.in,"Seed Funding","2,00,000",2016-05-04,nan
1677,MyDentistChoice,eCommerce,"Medical Supplies eTailer",Hyderabad,"Undisclosed investors","Seed Funding","1,50,000",2016-05-04,nan
1678,Active.ai,Technology,"Intelligent Tech platform for Finance vertical",Singapore,"Kalaari Capital Accelerator Program","Seed Funding","5,00,000",2016-05-04,nan
1679,Affordplan,Technology,"Affordable non-emergency medical service health plans","New Delhi","Kalaari Capital Accelerator Program","Seed Funding","5,00,000",2016-05-04,nan
1680,Indee,"Consumer Internet","Web Video Streaming Platform",Bangalore,"Kalaari Capital Accelerator Program","Seed Funding","5,00,000",2016-05-04,nan
1681,Unbxd,Technology,"eCommerce product discovery software","New Delhi","IDG Ventures, Inventus Capital, Indian Angel Network","Private Equity",N/A,2016-05-05,nan
1682,WebAlligator,"Consumer Internet","Cloud Based Software Solutions",Bangalore,"Group of undisclosed Angel Investors & HNIs","Seed Funding","3,75,000",2016-05-05,nan
1683,"EduAce Services",Education,"Education Workshops & mentoring programs",Lucknow,"MoMagic Technologies","Private Equity","10,00,000",2016-05-06,nan
1684,Meesho,eCommerce,"Social commerce platform",Bangalore,"Rajul Garg & Others","Seed Funding",N/A,2016-05-06,nan
1685,Zebroads,Logistics,"Logistics and Warehousing services",Hyderabad,"Undisclosed investors","Seed Funding","75,000",2016-05-07,nan
1686,Locus,Technology,"Logistics Intelligence platform",Bangalore,"Exfinity Venture Partners, Blume Ventures, BeeNext, Rajesh Ranavat","Private Equity","27,50,000",2016-05-09,nan
1687,"Toko Innovations","Consumer Internet","Children\\xe2\\x80\\x99s Entertainment Portal",Bangalore,"Roopak Saluja, Vishal Khare","Seed Funding","4,50,000",2016-05-09,nan
1688,Rentickle,eCommerce,"Furniture, appliances Portal","New Delhi","Manish Kheterpal, Vinay Mittal, Dinesh Mittal, Sandeep Gupta","Seed Funding","2,50,000",2016-05-09,nan
1689,HealthifyMe,"Consumer Internet","Health & Fitness App",Bangalore,"IDG Ventures India, Inventus Capital, Blume Ventures","Private Equity","60,00,000",2016-05-10,nan
1690,Zarget,"Consumer Internet","Conversion Rate Optimization Platform",Chennai,"Accel Partners, Matrix Partners, Girish Mathrubootham","Private Equity","15,00,000",2016-05-10,nan
1691,"InnoNano Research",Technology,"Clean Water Technology",Chennai,NanoHoldings,"Private Equity","1,80,00,000",2016-05-10,nan
1692,SchoolWear,eCommerce,"School Uniform & Supplies Marketplace",Mumbai,"Undisclosed investors","Seed Funding","15,00,000",2016-05-10,nan
1693,Swiggy,"Consumer Internet","Food Delivery Platform",Bangalore,"Norwest Venture Partners, DST Global, Accel Partners","Private Equity","70,00,000",2016-05-10,nan
1694,Zenify,"Consumer Internet","Home rental Discovery & Booking Portal",Bangalore,"Undisclosed Investors","Private Equity","9,00,000",2016-05-11,nan
1695,Faircent,"Consumer Internet","Online Peer to Peer Lending platform",Gurgaon,"JM Financial Products Ltd, Arun Tadanki, Doreswamy Nandkishore, Kshitij Jain","Private Equity",N/A,2016-05-11,nan
1696,"Fractal Analytics",Technology,"Data Analytics Company",Mumbai,"Khazanah Nasional Berhad","Private Equity","10,00,00,000",2016-05-11,nan
1697,Unacademy,"Consumer Internet","Free Online Education Platform",Bangalore,"Blume Ventures, Rajan Anandan, Sumit Jain, Aprameya Radhakrishna, Sujeet Kumar, Phanindra Sama","Seed Funding","5,00,000",2016-05-12,nan
1698,"Capital Float","Consumer Internet","Online Lending Platform",Bangalore,"Creation Investments Capital Management, SAIF Partners, Sequoia Capital, Aspada Ventures","Private Equity","2,50,00,000",2016-05-12,nan
1699,"Life Circle",Healthcare,"Senior Healthcare Services",Hyderabad,"GROUPE SOS","Private Equity","1,50,000",2016-05-12,nan
1700,"Dream Wallets","Consumer Internet","Online Crowdfunding platform",Jaipur,"Rakesh Gupta, Aditya Aggarwal, Siddharth Banerjee, Vikas Ranjan, Anshul Jindal, Sunil Koul, and Sanjeev Agrawal","Seed Funding",N/A,2016-05-12,nan
1701,ShabdNagari,"Consumer Internet","Hindi social networking portal",Kanpur,"ah! Ventures","Seed Funding",N/A,2016-05-12,nan
1702,Galleri5,"Consumer Internet","Visual Content Discovery platform",Bangalore,"Phanindra Sama, Raghunandan G,","Seed Funding",N/A,2016-05-12,nan
1703,Derbii,Logistics,"Carpooling Services",Gurgaon,"Anurag Chauhan","Seed Funding",N/A,2016-05-12,nan
1704,StayZilla,"Consumer Internet","Budget Room Aggregator Booking platform",Chennai,"Matrix Partners, Nexus Ventures","Private Equity","1,35,00,000",2016-05-13,nan
1705,"WoW Express",Logistics,"E-Commerce Logistics Solutions",Mumbai,"Undisclosed Investors & Tamarind Family Private Trust","Private Equity","22,00,000",2016-05-13,nan
1706,Smartivity,eCommerce,"Smart Learning products",Delhi,"S Chand, AdvantEdge Partners","Private Equity","10,00,000",2016-05-16,nan
1707,BedBathMore,"Consumer Internet","Home Decor eMarketplace",Mumbai,"Kinnevik Group, Rocket Internet","Private Equity",N/A,2016-05-16,nan
1708,Murgency,"Consumer Internet","Medical Emergency Response App",Mumbai,"Rata Tata","Private Equity",N/A,2016-05-17,nan
1709,Crownit,"Consumer Internet","Mobile customer rewards management platform",Gurgaon,"Undisclosed investors, Accel Partners, Helion Venture Partners","Private Equity",N/A,2016-05-17,nan
1710,Blinge,eCommerce,"Apparel Rental platform",Mumbai,"Anupam Mittal, Anuj Srivastava, Ankit Nagori","Seed Funding",N/A,2016-05-17,nan
1711,TheSmartQ,"Consumer Internet","Food Ordering Mobile App",Bangalore,"YourNest Angel Fund","Seed Funding","2,50,000",2016-05-18,nan
1712,PurpleHealth,"Consumer Internet","Online health-on-demand platform",Trivandrum,"Katabole Technology Venture","Seed Funding","1,00,000",2016-05-18,nan
1713,Fundamentor,Education,"Aptitude Development Program",Pune,"Subramanya SV","Seed Funding",N/A,2016-05-18,nan
1714,EduPristine,Education,"Online Certification Courses",Mumbai,"Kaizen Management Advisors, DeVry Inc","Private Equity","1,00,00,000",2016-05-18,nan
1715,BhiveWorkspace,Reality,"Co-Working Spaces",Bangalore,"Blume Ventures","Private Equity","10,00,000",2016-05-18,nan
1716,Parentlane,"Consumer Internet","Parenting & Child Care app",Bangalore,"Sujeet Kumar, Aprameya, Sumit Jain, Subramanya Venkat, Venk, Ravi Machani, Hitesh Gupta, Rohit Choudhary","Seed Funding",N/A,2016-05-18,nan
1717,Appie,"Consumer Internet","Location-based offline retail discovery platform",Mumbai,"Undisclosed investors","Seed Funding","10,00,000",2016-05-19,nan
1718,Niki.ai,Technology,"Artificial Intelligence Platform",Bangalore,"Ratan Tata","Private Equity",N/A,2016-05-19,nan
1719,TaxiVaxi,"Consumer Internet","Cab Aggregating Platform","New Delhi","Undisclosed HNIs","Seed Funding","5,00,000",2016-05-19,nan
1720,Veqta,"Consumer Internet","On Demand Digital Sports Network","New Delhi","Chatsworth Management, ITW Digital","Seed Funding","5,00,000",2016-05-19,nan
1721,i2ifunding,"Consumer Internet","Online Peer to Peer Funding",Noida,"Undisclosed Investors","Seed Funding","3,00,000",2016-05-20,nan
1722,EduRev,"Consumer Internet","Online Learning Platform",Gurgaon,"Pradeep Reddy Kamasan","Seed Funding",N/A,2016-05-23,nan
1723,Hoppingo,"Consumer Internet","Fashion Discovery platform","New Delhi",vCommission,"Seed Funding","89,000",2016-05-23,nan
1724,Eatonomist,"Consumer Internet","Food Delivery Platform",Gurgaon,"MCube Capital Advisors Pvt Ltd","Seed Funding",N/A,2016-05-24,nan
1725,Goalwise,"Consumer Internet","Online investment platform",Bangalore,"Undisclosed HNIs","Seed Funding","10,00,000",2016-05-24,nan
1726,Roast,"Consumer Internet","Mobile entertainment App","New Delhi","Indian Angel Network","Seed Funding",N/A,2016-05-25,nan
1727,"Address Health",Healthcare,"Pediatric Primary Healthcare Network",Bangalore,"Gray Matters Capital","Private Equity","15,00,000",2016-05-25,nan
1728,"Arcatron Mobility",Technology,"Mobility Devices for differently abled",Pune,"Sudhir Mehta","Seed Funding","1,00,000",2016-05-25,nan
1729,SheThePeople,"Consumer Internet","Digital platform for Women","New Delhi","Anand Mahindra","Seed Funding",N/A,2016-05-25,nan
1730,Cleartax,"Consumer Internet","Online Income Tax Filing platform",Bangalore,"FF Angel, Sequoia Capital","Private Equity","20,00,000",2016-05-26,nan
1731,"Consure Medical",Healthcare,"Medical Devices Kit manufacturer","New Delhi","Accel Partners, Indian Angel Network, India Innovation Fund India Venture Partners","Private Equity",N/A,2016-05-26,nan
1732,mChamp,"Consumer Internet","Celebrity Entertainment Contest App","New Delhi","MoMagic Technologies","Seed Funding","4,75,000",2016-05-26,nan
1733,Pianta,"Consumer Internet","Online healthcare service discovery platform",Bangalore,"Kunal Shah, Sandeep Tandon","Seed Funding",N/A,2016-05-27,nan
1734,Vahanalytics,Technology,"Safe driving Analytics platform",Mumbai,"Anirudh Damani, Vikram Lakhotia","Seed Funding","2,00,000",2016-05-30,nan
1735,"Play Your Sport","Consumer Internet","Location based Sports & Fitness Discovery App","New Delhi","Ashish Gupta and other undisclosed investors","Seed Funding",N/A,2016-05-31,nan
1736,Koovs,eCommerce,"Apparel & Lifestyle eTailer","New Delhi","HT Media Ltd","Private Equity","44,00,000",2016-05-31,nan
1737,CCavenue,"Consumer Internet","Payment Gateway",Mumbai,"NSI Infinium Global Pvt. Ltd","Private Equity","89,00,000",2016-05-31,nan
1738,1mg,eCommerce,"Online Pharmacy",Gurgaon,"HBM Healthcare Investments","Private Equity",N/A,2016-05-31,nan
1739,Tpot,"Food & Beverage","QSR Chain",Gurgaon,"Ashish Gupta","Seed Funding",N/A,2016-05-31,nan
1740,MachaDalo,"Consumer Internet","Hyperlocal Advertising Platform",Mumbai,"Undisclosed Investors","Seed Funding","1,75,000",2016-05-31,nan
1741,"Dil Mil","Consumer Internet","Matchmaking Mobile App","SFO / Bangalore","Nelstone Ventures, Transmedia Capital, Maiden Lane Ventures, CSC Upshot & Angel investors","Private Equity","27,00,000",2016-04-01,nan
1742,PicsDream,"Consumer Internet","Online Marketplace for Photographers",Delhi,"Raman Roy","Seed Funding",N/A,2016-04-01,nan
1743,"Process 9","Consumer Internet","online translation and transliteration",Gurgaon,"Indian Angel Network, Alok Sharma, Kris Gopalakrishnan, Saurabh Srivastava, and Ajai Chowdhry","Seed Funding",N/A,2016-04-01,nan
1744,Housing,"Consumer Internet","Real Estate Portal",Mumbai,"Vineet Singh","Private Equity",N/A,2016-04-04,nan
1745,"Roll Mafia","Food & Beverage","Rolls & Biryanis QSR chain",Pune,"Equentia Natural Resource & Other undisclosed investors","Seed Funding",N/A,2016-04-04,nan
1746,Hungama,"Consumer Internet","Digital Media Entertainment Portal",Mumbai,"Xiaomi Inc","Private Equity","2,50,00,000",2016-04-04,nan
1747,"Highway Delite","Consumer Internet","Various Highway Help Services",Bangalore,"N.S. Raghavan Centre for Entrepreneurial Learning","Seed Funding",N/A,2016-04-04,nan
1748,"Cult Fitness",Healthcare,"Healthcare training programs",Bangalore,"Mukesh Bansal","Seed Funding",N/A,2016-04-05,nan
1749,Haptik,Technology,"Personal Assistant App",Mumbai,"Times Internet Ltd","Private Equity",N/A,2016-04-05,nan
1750,Servify,"Consumer Internet","Gadget & Appliances Service App",Mumbai,"Blume Ventures, Barkawi Holdings GmbH, TM Service Technology Holdings GmbH","Private Equity",N/A,2016-04-05,nan
1751,Shipsy,Logistics,"Logistics Solutions",Gurgaon,"DTDC Express Ltd","Private Equity","10,00,000",2016-04-06,nan
1752,gear6,"Consumer Internet","Online bike service and repairs platform",Bangalore,Ninestarter,"Seed Funding","5,00,000",2016-04-06,nan
1753,MyGlamm,"Consumer Internet","Mobile based on-demand Beauty Services platform",Mumbai,L\\xe2\\x80\\x99Occitane,"Private Equity","60,00,000",2016-04-06,nan
1754,Petoo,"Consumer Internet","Online Food Delivery Platform",Bangalore,"Axilor Ventures","Private Equity","10,00,000",2016-04-06,nan
1755,"Truly Social","Consumer Internet","Mobile Gaming Studio",London,"Nazara Technologies Pvt Ltd","Private Equity",N/A,2016-04-07,nan
1756,"Little Black Book","Consumer Internet","Curated Food, event & Lifestyle guide","New Delhi","IDG, Indian Angel Network","Seed Funding",N/A,2016-04-08,nan
1757,Vahan,Education,"Mobile Education Platform",Chennai,Villgro,"Seed Funding",N/A,2016-04-08,nan
1758,imedilane,"Consumer Internet","Online Health Diagnosis platform","New Delhi","Mahendra Patel, Nilender Chauhan","Seed Funding","40,000",2016-04-08,nan
1759,"Living Local","Consumer Internet","Social discovery platform",Mumbai,"Rattan Chadha","Seed Funding","2,00,000",2016-04-11,nan
1760,Vegfru,eCommerce,"Online Fruit & Vegetable Marketplace","New Delhi",Wingify,"Seed Funding",N/A,2016-04-11,nan
1761,Oyo,"Consumer Internet","Online Branded Budget Room Booking Service","New Delhi","Softbank, Sequoia Capital, Lightspeed Venture Partners, Greenoaks Capital, DSG Consumer Partners and Venture Nursery","Private Equity","10,00,00,000",2016-04-11,nan
1762,PriceRaja,"Consumer Internet","Price Comparison Portal",Gurgaon,"Prashant Puri","Seed Funding","3,00,000",2016-04-11,nan
1763,MagicX,"Consumer Internet","On-Demand Task Management App",Bangalore,"Kris Gopalakrishnan, Dr. Ranjan Pai","Seed Funding","10,00,000",2016-04-12,nan
1764,Happydemic,"Consumer Internet","Artist Discovery & Booking platform",Mumbai,Shaan,"Seed Funding",N/A,2016-04-12,nan
1765,LenDenClub,Finance,"Peer-to-Peer Lending Platform",Mumbai,"Anirudh Damani, Daud Ali, Narendra Karnavat, Vikas Kapoor, Vikram Lakhotia, Krishna Jhunjhunwaala, Jayesh Shah","Seed Funding",N/A,2016-04-12,nan
1766,Indi.com,"Consumer Internet","Video Social Network",N/A,"Anil Kapoor","Seed Funding",N/A,2016-04-12,nan
1767,Legalraasta,"Consumer Internet","Online legal Services for Startups","New Delhi","Pravin Khandelwal, Yatin Kumar Jain","Seed Funding","10,00,000",2016-04-13,nan
1768,RainCan,"Consumer Internet","Subscription-based grocery delivery Mobile App",Pune,"Dr. Aniruddha Malpani","Seed Funding","1,50,000",2016-04-13,nan
1769,Hippily,eCommerce,"Fashion ECommerce App",Mumbai,"Dr. Sridhar Ramaswamy, Rakesh Mathur","Seed Funding","2,50,000",2016-04-13,nan
1770,kredX,eCommerce,"Invoice discounting\\xc2\\xa0 Marketplace",Bangalore,"Prime Venture Partners,","Seed Funding","7,50,000",2016-04-13,nan
1771,Wedwise,"Consumer Internet","Wedding related services community","New Delhi","StartUp Equity Partners","Seed Funding",N/A,2016-04-14,nan
1772,BeaconsTalk,Technology,"contextual mobile advertising",Mumbai,"Rajeev Agrawal, Prashant Gooty","Seed Funding","1,00,000",2016-04-14,nan
1773,"Deal 4Loans","Consumer Internet","Loan Comparison Portal",Noida,"Ram Shriram, Neeraj Arora, Puru Vashishtha","Seed Funding",N/A,2016-04-15,nan
1774,RenewBuy,"Consumer Internet","Online Car & Bike Insurance Comparison portal","New Delhi","Mount Nathan Advisors","Seed Funding","10,00,000",2016-04-15,nan
1775,"Blue Box Media","Consumer Internet","Online Tech Portals",Jaipur,"Mahavir Pratap Sharma, Ajay Data, Yogesh Chaudhary, Sanjay Phophaliya, Siddharth Agarwal, Kamal Kothari","Seed Funding",N/A,2016-04-15,nan
1776,Vyomo,"Consumer Internet","On-Demand Beauty Service provider","New Delhi","Naturals Salon Chain","Private Equity","1,50,00,000",2016-04-15,nan
1777,Organicshop,eCommerce,"Marketplace for organic products",Jaipur,"Vivek Nathani, Yogesh Chaudhary, Mahavir Pratap Sharma, Kamal Kothari, H C Jain","Seed Funding",N/A,2016-04-15,nan
1778,"MInd Your Fleet","Consumer Internet","Car Rental Software",Noida,"Undisclosed Investors","Seed Funding",N/A,2016-04-15,nan
1779,NestAway,"Consumer Internet","Furnished Home Rental Platform",Bangalore,"Tiger Global","Private Equity","3,00,00,000",2016-04-15,nan
1780,Tapchief,"Consumer Internet","Expert Advice Platform",Bangalore,"Vijay Shekhar Sharma","Seed Funding","1,50,000",2016-04-15,nan
1781,Rapido,"Consumer Internet","Bike Aggregator App",Bangalore,"Pawan Munjal, AdvantEdge Partners, Astarc Ventures","Private Equity",N/A,2016-04-18,nan
1782,Yufta,eCommerce,"Women\\xe2\\x80\\x99s Fashion ECommerce Portal",Bangalore,"Ajay Data & other HNIs","Seed Funding",N/A,2016-04-18,nan
1783,Smytten,eCommerce,"Online Discovery and Shopping Platform",Gurgaon,"Rajan Anandan","Seed Funding",N/A,2016-04-18,nan
1784,Houssup,"Consumer Internet","interior design and home furnishing portal",Jaipur,"Mitin Patel, Gaurav Agarwal","Seed Funding",N/A,2016-04-18,nan
1785,Jugnoo,"Consumer Internet","On-demand Delivery & Logistics platform",Chandigarh,"Paytm & existing investors","Private Equity","1,00,00,000",2016-04-18,nan
